user_id,n_ratings,mean_rating,user_idx,region
1,117,3.58974358974359,0,EMEA
2,65,4.415384615384616,1,APAC
3,91,1.7362637362637363,2,AMER
4,134,3.7686567164179103,3,EMEA
5,100,4.04,4,APAC
6,90,4.322222222222222,5,AMER
7,155,3.8193548387096774,6,EMEA
8,98,3.5714285714285716,7,APAC
9,132,3.446969696969697,8,AMER
10,128,3.75,9,EMEA
11,120,3.591666666666667,10,APAC
12,113,3.8672566371681416,11,AMER
13,96,4.197916666666667,12,EMEA
14,108,3.509259259259259,13,APAC
15,97,4.319587628865979,14,AMER
16,68,3.735294117647059,15,EMEA
17,61,4.016393442622951,16,APAC
18,109,3.4220183486238533,17,AMER
19,119,3.4201680672268906,18,EMEA
20,90,4.211111111111111,19,APAC
21,61,3.3114754098360657,20,AMER
22,120,3.625,21,EMEA
23,127,3.3307086614173227,22,APAC
24,128,3.71875,23,AMER
25,60,4.016666666666667,24,EMEA
26,103,3.9902912621359223,25,APAC
27,121,3.87603305785124,26,AMER
28,120,4.008333333333334,27,EMEA
29,98,4.244897959183674,28,APAC
30,92,4.163043478260869,29,AMER
31,121,3.5041322314049586,30,EMEA
32,123,3.983739837398374,31,APAC
33,99,4.444444444444445,32,AMER
34,101,3.792079207920792,33,EMEA
35,176,3.1136363636363638,34,APAC
36,136,3.676470588235294,35,AMER
37,81,4.308641975308642,36,EMEA
38,61,3.5081967213114753,37,APAC
39,91,3.4945054945054945,38,AMER
40,129,3.8449612403100777,39,EMEA
41,149,4.295302013422819,40,APAC
42,54,3.7962962962962963,41,AMER
43,103,3.5825242718446604,42,EMEA
44,129,3.86046511627907,43,APAC
45,45,3.9555555555555557,44,AMER
46,119,4.100840336134453,45,EMEA
47,133,3.819548872180451,46,APAC
48,80,3.7125,47,AMER
49,133,3.4135338345864663,48,EMEA
50,106,4.09433962264151,49,APAC
51,116,4.017241379310345,50,AMER
52,114,3.7017543859649122,51,EMEA
53,49,2.816326530612245,52,APAC
54,121,3.7107438016528924,53,AMER
55,127,3.6929133858267718,54,EMEA
56,95,3.8526315789473684,55,APAC
57,113,3.504424778761062,56,AMER
58,82,3.7439024390243905,57,EMEA
59,66,3.5,58,APAC
60,122,3.7459016393442623,59,AMER
61,139,3.712230215827338,60,EMEA
62,110,3.709090909090909,61,APAC
63,70,3.442857142857143,62,AMER
64,89,3.955056179775281,63,EMEA
65,109,4.229357798165138,64,APAC
66,70,3.2,65,AMER
67,104,3.7115384615384617,66,EMEA
68,51,2.980392156862745,67,APAC
69,91,4.1098901098901095,68,AMER
70,63,3.6507936507936507,69,EMEA
71,98,3.683673469387755,70,APAC
72,109,3.9174311926605503,71,AMER
73,105,4.114285714285714,72,EMEA
74,62,3.7903225806451615,73,APAC
75,163,3.4846625766871164,74,AMER
76,109,3.614678899082569,75,EMEA
77,64,3.421875,76,APAC
78,74,3.4324324324324325,77,AMER
79,123,4.121951219512195,78,EMEA
80,64,2.65625,79,APAC
81,100,3.51,80,AMER
82,133,4.052631578947368,81,EMEA
83,95,4.621052631578947,82,APAC
84,86,3.36046511627907,83,AMER
85,114,3.8947368421052633,84,EMEA
86,70,3.757142857142857,85,APAC
87,114,3.307017543859649,86,AMER
88,128,3.2734375,87,EMEA
89,149,3.6912751677852347,88,APAC
90,107,3.925233644859813,89,AMER
91,62,2.7419354838709675,90,EMEA
92,101,3.613861386138614,91,APAC
93,119,3.865546218487395,92,AMER
94,57,2.912280701754386,93,EMEA
95,132,3.977272727272727,94,APAC
96,119,3.53781512605042,95,AMER
97,103,3.563106796116505,96,EMEA
98,96,3.875,97,APAC
99,86,3.104651162790698,98,AMER
100,80,3.4125,99,EMEA
101,114,3.93859649122807,100,APAC
102,76,3.5657894736842106,101,AMER
103,107,3.4953271028037385,102,EMEA
104,123,3.4471544715447155,103,APAC
105,127,3.905511811023622,104,AMER
106,71,3.0985915492957745,105,EMEA
107,123,3.16260162601626,106,APAC
108,104,3.625,107,AMER
109,132,3.787878787878788,108,EMEA
110,68,3.323529411764706,109,APAC
111,128,3.8671875,110,AMER
112,103,4.116504854368932,111,EMEA
113,105,3.980952380952381,112,APAC
114,67,3.611940298507463,113,AMER
115,85,3.6470588235294117,114,EMEA
116,134,3.9776119402985075,115,APAC
117,56,3.767857142857143,116,AMER
118,113,3.1327433628318584,117,EMEA
119,137,4.372262773722627,118,APAC
120,77,4.285714285714286,119,AMER
121,113,3.3451327433628317,120,EMEA
122,91,3.197802197802198,121,APAC
123,106,3.9716981132075473,122,AMER
124,128,3.7890625,123,EMEA
125,109,4.027522935779817,124,APAC
126,102,3.6862745098039214,125,AMER
127,106,4.264150943396227,126,EMEA
128,106,3.830188679245283,127,APAC
129,98,3.989795918367347,128,AMER
130,120,3.7916666666666665,129,EMEA
131,70,2.914285714285714,130,APAC
132,96,3.8125,131,AMER
133,131,3.8931297709923665,132,EMEA
134,92,4.054347826086956,133,APAC
135,114,3.736842105263158,134,AMER
136,94,4.074468085106383,135,EMEA
137,113,3.7787610619469025,136,APAC
138,101,4.257425742574258,137,AMER
139,96,3.75,138,EMEA
140,131,3.66412213740458,139,APAC
141,96,4.114583333333333,140,AMER
142,110,4.245454545454545,141,EMEA
143,159,3.6037735849056602,142,APAC
144,92,3.760869565217391,143,AMER
145,157,3.4076433121019107,144,EMEA
146,144,3.5972222222222223,145,APAC
147,80,3.4625,146,AMER
148,134,3.6492537313432836,147,EMEA
149,109,4.110091743119266,148,APAC
150,94,4.372340425531915,149,AMER
151,96,3.6979166666666665,150,EMEA
152,98,3.795918367346939,151,APAC
153,149,3.0,152,AMER
154,102,3.843137254901961,153,EMEA
155,65,3.123076923076923,154,APAC
156,96,4.010416666666667,155,AMER
157,85,4.023529411764706,156,EMEA
158,148,3.9324324324324325,157,APAC
159,70,3.4857142857142858,158,AMER
160,81,3.7037037037037037,159,EMEA
161,93,3.4086021505376345,160,APAC
162,79,3.4177215189873418,161,AMER
163,116,3.793103448275862,162,EMEA
164,136,3.801470588235294,163,APAC
165,104,3.4711538461538463,164,AMER
166,108,3.9537037037037037,165,EMEA
167,107,3.5981308411214954,166,APAC
168,95,3.905263157894737,167,AMER
169,110,4.2,168,EMEA
170,115,3.3130434782608695,169,APAC
171,85,4.0588235294117645,170,AMER
172,102,4.0588235294117645,171,EMEA
173,176,3.460227272727273,172,APAC
174,116,3.8448275862068964,173,AMER
175,102,3.8627450980392157,174,EMEA
